avgTemp,minTemp,maxTemp,rainfall,price
25.2,21.3,30.2,0.0,4098.0
25.8,21.9,31.0,1.4,4098.0
25.7,22.4,30.9,0.7,4048.0
26.0,22.1,31.8,0.0,4223.0
25.8,21.1,32.1,0.0,4309.0
25.2,20.6,30.3,0.5,4182.0
24.7,20.9,29.5,0.2,4182.0
23.3,19.4,28.3,2.1,4182.0
22.4,18.3,28.1,1.9,3731.0
21.8,16.7,28.3,0.1,3650.0
21.3,14.8,27.9,0.0,3561.0
21.8,18.7,25.8,0.1,3415.0
20.8,18.8,23.9,1.6,3485.0
19.8,18.1,22.1,16.2,3485.0
21.6,19.1,24.6,24.5,3485.0
23.7,21.1,28.2,4.0,3485.0
24.5,21.3,29.5,0.1,3485.0
24.9,21.3,30.5,0.0,3757.0
24.8,20.4,31.1,0.0,3643.0
25.2,20.6,31.5,0.0,3698.0
24.8,21.0,30.0,3.3,3698.0
21.6,19.0,25.3,3.6,3698.0
18.0,15.7,20.5,0.6,3521.0
17.4,13.5,21.5,0.1,3424.0
17.3,12.1,23.2,0.0,3422.0
16.7,10.4,24.0,0.0,3176.0
17.5,11.1,25.3,0.0,2858.0
18.1,11.9,25.5,0.0,2858.0
18.4,12.5,25.8,0.0,2858.0
18.4,12.2,26.5,0.0,2651.0
18.4,11.2,26.4,0.0,2472.0
18.5,13.7,23.5,0.0,2538.0
17.9,16.0,20.2,12.4,2219.0
16.9,11.8,21.5,0.2,2308.0
13.4,8.7,19.3,0.0,2308.0
12.9,8.2,18.7,0.0,2308.0
12.3,6.0,20.1,0.0,2308.0
13.9,6.5,21.9,0.0,2463.0
15.6,11.0,22.5,0.0,2466.0
15.6,9.9,22.3,0.0,2183.0
14.1,7.9,21.7,0.0,2292.0
14.5,8.2,22.7,0.0,2292.0
